"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"436","Nemanja Radoja",17,1419,1,0,0,0,1,1,"100%",5,2,"40%",0,1,16,13,18,13,0,2,0,0,0,0,0,0,0,1,0,16,5,"85%",0,0,0,0,0,0
"437","Néstor Araujo",25,2172,1,1,0,0,10,3,"30%",0,0,"0%",0,2,8,21,38,23,0,8,0,0,0,0,0,0,0,16,0,1,2,"84%",0,9,0,0,0,0
"438","Neto",1,90,0,0,1,2,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"83%",0,0,0,0,0,0
"439","Nikola Vukcevic",22,1083,0,2,0,0,4,1,"25%",1,0,"0%",0,2,20,31,10,20,0,8,0,0,0,0,0,0,0,5,0,7,6,"85%",0,1,0,0,0,0
"440","Nolito",15,897,3,0,0,0,30,12,"40%",14,2,"14%",0,7,9,22,1,12,0,0,0,0,1,0,0,0,0,0,0,10,10,"79%",1,0,0,0,0,0
"441","Oghenekaro Etebo",6,347,0,0,0,0,5,2,"40%",8,0,"0%",0,2,4,5,9,4,0,2,0,0,0,0,0,0,0,0,1,2,1,"58%",0,0,0,0,0,0
"442","Oier Olazábal",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"443","Oier Sanjurjo",20,1656,2,0,0,0,14,5,"36%",8,3,"38%",0,4,31,32,21,25,0,10,1,0,0,0,0,0,0,4,1,6,10,"71%",0,0,0,0,0,0
"444","Oihan Sancet",8,400,0,1,0,0,7,3,"43%",1,0,"0%",0,0,7,8,0,1,0,1,0,0,0,0,0,0,0,0,0,9,6,"82%",1,0,0,0,0,0
"445","Okay Yokuslu",16,1361,0,1,0,0,5,1,"20%",3,1,"33%",0,1,9,31,22,17,0,3,0,0,0,0,0,0,0,2,0,17,7,"80%",0,0,0,0,0,0
"446","Oliver Burke",21,794,1,1,0,0,14,3,"21%",9,0,"0%",0,9,8,11,8,11,0,1,0,0,0,0,0,0,0,0,0,19,3,"68%",0,0,0,0,0,0
"447","Óliver Torres",20,1112,1,3,0,0,12,7,"58%",31,7,"23%",0,7,13,23,9,20,0,5,0,0,0,0,0,0,0,0,0,19,20,"82%",3,2,0,0,0,0
"448","Óscar Clemente",1,4,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,0
"449","Óscar De Marcos",4,189,0,0,0,0,0,0,"0%",7,1,"14%",0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67%",0,0,0,0,0,0
"450","Óscar Duarte",6,306,0,0,0,0,3,1,"33%",0,0,"0%",0,1,2,8,3,2,0,0,0,0,0,0,0,0,0,4,0,1,0,"87%",0,3,0,0,0,0
"451","Óscar Melendo",14,646,0,0,0,0,3,0,"0%",5,1,"20%",0,1,19,6,2,3,0,0,0,0,0,0,0,0,0,2,0,4,10,"83%",3,0,0,0,0,0
"452","Óscar Plano",27,1967,3,2,0,0,34,12,"35%",34,9,"26%",0,14,46,38,27,20,0,3,0,0,1,0,0,0,0,2,0,12,20,"74%",5,2,0,0,0,0
"453","Óscar Rodríguez",26,1668,7,2,0,0,49,22,"45%",85,22,"26%",1,15,32,23,17,9,0,4,1,0,0,1,1,0,0,0,0,34,24,"73%",27,21,2,14,7,3
"454","Ousmane Dembélé",5,357,1,0,0,0,5,2,"40%",20,5,"25%",0,5,5,1,0,2,0,1,1,0,0,0,0,0,0,0,0,16,8,"78%",13,1,0,0,0,0
"455","Pablo Chavarría",7,112,0,0,0,0,2,0,"0%",1,0,"0%",0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"55%",0,0,0,0,0,0
"456","Pablo de Blasis",21,1040,0,2,0,0,5,1,"20%",59,14,"24%",0,5,9,10,18,24,0,0,0,1,0,0,0,0,0,0,0,9,11,"72%",5,9,1,1,0,0
"457","Pablo Hervías",14,485,1,0,0,0,12,4,"33%",35,8,"23%",1,5,12,5,2,5,0,0,0,0,0,0,0,0,0,0,0,14,9,"84%",7,6,2,7,3,1
"458","Pablo Lombo",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"459","Pablo Martínez",3,18,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67%",0,0,0,0,0,0
"460","Pablo Pérez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"461","Pablo Piatti",3,56,0,0,0,0,3,0,"0%",5,0,"0%",0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,"87%",3,1,0,0,0,0
"462","Paco Alcácer",6,493,2,1,0,0,11,4,"36%",1,0,"0%",0,4,7,3,1,2,0,1,0,0,1,0,0,0,0,1,0,0,4,"78%",0,1,0,0,0,0
"463","Pape Cheikh",14,551,0,1,0,0,2,0,"0%",0,0,"0%",0,1,14,22,2,5,0,5,1,0,0,0,0,0,0,0,0,6,4,"89%",0,0,0,0,0,0
"464","Pape Diop",21,1646,1,0,0,0,20,6,"30%",7,1,"14%",0,5,27,37,28,19,0,6,0,0,0,0,0,0,0,3,0,2,11,"74%",1,1,0,0,0,0
"465","Patrick van Aanholt",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"466","Pau Torres",25,2160,1,1,0,0,7,1,"14%",2,0,"0%",0,1,5,24,18,14,0,4,0,2,0,0,0,0,0,18,0,6,8,"84%",0,8,0,0,0,0
"467","Paulo Oliveira",19,1593,1,0,0,0,9,3,"33%",3,1,"33%",0,3,13,16,31,14,0,7,1,0,0,0,0,0,1,12,1,1,2,"69%",0,10,0,0,0,0
"468","Pedro Bigas",14,1036,1,0,0,0,5,2,"40%",7,2,"29%",1,1,13,7,18,7,0,2,0,1,0,0,0,0,0,9,0,0,2,"69%",0,6,0,0,0,0
"469","Pedro León",23,1451,1,0,0,0,25,11,"44%",132,34,"26%",0,17,13,17,14,17,0,3,0,0,0,0,0,0,0,0,0,14,30,"68%",45,21,4,4,1,0
"470","Pedro Porro",13,739,0,0,0,0,1,0,"0%",34,4,"12%",0,8,12,4,8,10,0,1,0,0,0,0,0,0,0,0,1,12,4,"66%",0,4,0,0,0,0
"471","Pepe Sánchez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"472","Pere Pons",22,749,1,1,0,0,4,1,"25%",6,3,"50%",0,1,8,19,10,8,0,1,0,0,1,0,0,0,0,2,0,3,6,"74%",0,0,0,0,0,0
"473","Pervis J. Estupiñán",26,2336,1,3,0,0,14,2,"14%",118,31,"26%",0,15,29,28,48,37,0,6,0,0,0,0,0,0,0,6,1,48,35,"74%",0,3,0,1,0,0
"474","Pione Sisto",19,772,2,0,0,0,27,14,"52%",35,5,"14%",0,9,23,8,4,9,0,2,0,0,0,0,0,0,0,0,0,23,8,"83%",10,6,1,1,0,0
"475","Pol Lozano",1,18,0,0,0,0,0,0,"0%",1,0,"0%",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"100%",1,0,0,0,0,0
"476","Quini",10,718,0,0,0,0,10,0,"0%",17,2,"12%",0,6,6,8,10,12,0,2,0,0,0,0,0,0,0,1,0,6,7,"75%",0,0,0,0,0,0
"477","Quique González",11,386,0,1,0,0,8,1,"13%",3,1,"33%",0,0,11,8,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,"72%",0,0,0,0,0,0
"478","Rafa Soares",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"479","Rafinha Alcántara",22,1637,2,1,0,0,27,7,"26%",29,4,"14%",0,12,79,25,27,21,0,2,0,0,0,0,0,0,0,2,0,42,22,"88%",9,5,0,0,0,0
"480","Ramiro Funes Mori",7,450,0,0,0,0,3,0,"0%",0,0,"0%",0,0,4,7,3,2,0,1,0,0,0,0,0,0,0,2,0,1,2,"83%",0,2,0,0,0,0
"481","Ramón Azeez",17,882,2,0,0,0,17,2,"12%",6,1,"17%",1,6,15,24,11,7,0,3,0,0,0,0,0,0,0,1,0,2,3,"80%",0,0,0,0,0,0
"482","Raphaël Varane",23,2070,2,1,0,0,8,2,"25%",2,0,"0%",0,1,6,13,20,16,0,2,0,0,0,0,0,0,0,12,0,6,3,"87%",0,3,0,0,0,0
"483","Raúl Albiol",27,2427,1,0,0,0,12,3,"25%",3,1,"33%",0,3,17,24,32,19,0,8,0,2,0,0,0,0,0,18,0,2,3,"84%",0,7,0,0,0,0
"484","Raúl De Tomás",6,540,4,0,0,0,24,8,"33%",4,1,"25%",0,6,11,9,3,4,0,1,0,0,1,1,1,0,0,0,0,22,3,"77%",0,0,0,1,0,0
"485","Raúl García",3,19,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57%",0,0,0,0,0,0
"486","Raúl García",25,2089,9,1,0,0,58,24,"41%",27,5,"19%",1,21,43,58,16,26,0,8,0,0,1,5,5,0,0,2,0,5,18,"56%",0,0,0,0,0,0
"487","Raúl García C.",11,874,0,1,0,0,7,3,"43%",72,18,"25%",0,7,7,10,6,14,0,2,0,1,0,0,0,0,0,2,0,8,9,"71%",3,10,1,0,0,0
"488","Raúl Navas",5,396,0,0,0,0,0,0,"0%",0,0,"0%",0,0,3,3,8,3,0,1,0,0,0,0,0,0,0,1,0,1,1,"84%",0,3,0,0,0,0
"489","Recio",19,1309,0,0,0,0,20,7,"35%",20,4,"20%",0,7,39,33,17,13,0,9,0,0,0,0,0,0,0,3,0,13,10,"88%",3,7,0,0,0,0
"490","Rei Manaj",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"491","Renan Lodi",23,1669,1,2,0,0,13,2,"15%",67,16,"24%",0,9,32,28,31,30,0,5,1,0,0,0,0,0,0,4,0,11,17,"80%",0,0,0,0,0,0
"492","Ricard Sánchez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"493","Riqui Puig",2,24,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"93%",0,0,0,0,0,0
"494","Rober Correa",5,346,0,0,0,0,1,0,"0%",11,2,"18%",0,1,5,6,3,4,0,0,0,0,0,0,0,0,0,2,0,2,0,"74%",0,1,0,0,0,0
"495","Robert Ibáñez",14,537,1,0,0,0,8,1,"13%",5,0,"0%",0,3,20,9,4,10,0,3,0,0,0,0,0,0,0,0,0,15,4,"81%",0,0,0,0,0,0
"496","Roberto Jiménez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"497","Roberto Rosales",15,1198,0,1,0,0,3,1,"33%",53,12,"23%",0,6,5,21,19,18,0,5,0,0,0,0,0,0,0,3,0,7,16,"67%",4,2,1,1,0,0
"498","Roberto Soldado",23,1751,2,4,0,0,20,7,"35%",11,2,"18%",0,9,37,33,4,7,0,11,0,0,1,1,1,0,0,3,0,8,23,"72%",0,0,0,2,1,0
"499","Roberto Torres",26,2068,6,7,0,0,66,20,"30%",116,26,"22%",4,19,26,14,21,11,0,1,0,1,0,5,5,0,0,2,0,13,30,"71%",39,20,2,9,2,0
"500","Robin Le Normand",21,1557,1,0,0,0,6,1,"17%",0,0,"0%",0,1,12,18,9,16,0,5,0,1,0,0,0,0,0,6,0,0,0,"88%",0,6,0,0,0,0
"501","Rodrigo Ely",18,1585,1,0,0,0,4,1,"25%",2,0,"0%",0,1,10,23,32,12,0,7,0,0,0,0,0,0,0,13,0,2,1,"77%",0,17,0,0,0,0
"502","Rodrigo Moreno",21,1370,2,7,0,0,30,11,"37%",17,5,"29%",1,4,23,14,7,3,0,2,1,0,2,0,0,0,0,1,0,19,23,"77%",0,0,0,0,0,0
"503","Rodrigo Riquelme",1,13,0,0,0,0,1,0,"0%",1,0,"0%",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50%",0,0,0,0,0,0
"504","Rodrigo Tarín",7,357,0,0,0,0,1,0,"0%",0,0,"0%",0,0,3,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"75%",0,2,0,0,0,0
"505","Rodrygo Goes",12,666,2,0,0,0,11,5,"45%",27,8,"30%",0,7,13,7,8,1,0,0,0,0,0,0,0,0,0,0,0,11,10,"89%",0,0,0,0,0,0
"506","Roger Assalé",4,104,0,0,0,0,3,1,"33%",3,2,"67%",0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,"81%",0,0,0,0,0,0
"507","Roger Martí",26,1666,11,0,0,0,47,23,"49%",13,1,"8%",0,8,25,44,3,9,0,4,0,0,2,4,4,0,1,0,0,7,16,"64%",0,0,0,0,0,0
"508","Ronald Araújo",1,18,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,0
"509","Rony Lopes",3,88,0,0,0,0,2,1,"50%",5,1,"20%",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"88%",3,0,0,1,1,0
"510","Roque Mesa",20,1590,1,2,0,0,19,8,"42%",40,12,"30%",0,7,38,28,6,18,0,8,0,0,0,0,0,0,0,3,0,29,20,"84%",12,6,1,1,1,0
"511","Rubén Alcaraz",17,1233,1,1,0,0,20,5,"25%",23,5,"22%",0,4,38,25,10,19,0,7,0,1,0,0,0,0,0,9,0,20,10,"80%",9,33,3,6,0,0
"512","Rubén Blanco",25,2250,0,0,78,33,0,0,"0%",0,0,"0%",0,0,4,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,"57%",0,5,0,0,0,0
"513","Rubén Duarte",25,2250,0,1,0,0,16,7,"44%",53,12,"23%",0,9,31,36,37,28,0,9,0,4,1,0,0,0,0,7,0,3,9,"70%",1,10,0,0,0,0
"514","Rubén García",24,1857,6,2,0,0,47,14,"30%",129,39,"30%",2,19,24,39,10,22,0,5,0,0,0,1,1,0,0,5,0,20,45,"76%",60,28,4,8,2,0
"515","Rubén Martínez",15,1223,0,0,25,14,0,0,"0%",0,0,"0%",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"47%",0,1,0,0,0,0
"516","Rubén Pardo",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"517","Rubén Peña",19,1418,1,1,0,0,5,2,"40%",66,12,"18%",1,10,19,29,22,17,0,5,0,0,0,0,0,0,1,5,0,16,14,"81%",0,1,0,0,0,0
"518","Rubén Pérez",17,1478,0,0,0,0,14,2,"14%",6,0,"0%",0,3,25,23,28,19,0,7,0,1,0,0,0,0,0,4,0,10,5,"75%",0,6,0,0,0,0
"519","Rubén Rochina",19,1257,3,1,0,0,46,9,"20%",49,9,"18%",0,12,39,22,11,18,0,4,0,0,1,0,0,0,0,0,0,36,18,"75%",20,10,1,3,1,0
"520","Rubén Sobrino",10,133,1,0,0,0,5,3,"60%",2,1,"50%",0,2,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,"70%",0,0,0,0,0,0
"521","Rúben Vezo",19,1710,1,0,0,0,9,3,"33%",0,0,"0%",0,0,19,22,23,13,0,4,0,2,0,0,0,0,0,21,0,2,1,"80%",0,11,0,0,0,0
"522","Rui Silva",26,2340,0,0,78,31,0,0,"0%",0,0,"0%",0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,"52%",0,58,0,0,0,0
"523","Sabin Merino",2,78,0,0,0,0,0,0,"0%",0,0,"0%",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"71%",0,0,0,0,0,0
"524","Salva Sevilla",24,1847,3,3,0,0,22,10,"45%",99,23,"23%",1,16,15,25,10,14,0,9,1,0,0,3,2,0,0,3,0,7,49,"87%",64,52,3,8,3,0
"525","Samu Pérez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"526","Samuel Chukwueze",27,1523,3,1,0,0,36,9,"25%",29,6,"21%",0,13,32,9,4,11,0,1,0,0,2,0,0,0,0,1,1,42,30,"73%",0,0,0,0,0,0
"527","Samuel Umtiti",11,841,0,0,0,0,0,0,"0%",0,0,"0%",0,0,14,17,24,4,0,4,0,0,0,0,0,0,0,2,0,8,0,"93%",0,6,0,0,0,0
"528","Sandro Ramírez",19,1082,3,1,0,0,36,13,"36%",30,8,"27%",1,6,34,15,4,10,0,2,0,0,1,1,0,0,0,1,0,14,10,"73%",9,0,0,3,2,0
"529","Santi Cazorla",25,1916,8,6,0,0,39,19,"49%",107,31,"29%",2,15,29,20,11,18,0,3,0,0,0,6,6,0,0,1,0,40,55,"86%",62,27,4,0,0,0
"530","Santi Mina",24,1386,3,2,0,0,36,10,"28%",19,4,"21%",1,14,26,35,5,4,0,4,0,0,0,0,0,0,0,2,0,13,14,"70%",0,0,0,1,0,0
"531","Santiago Arias",7,549,0,1,0,0,3,1,"33%",13,2,"15%",1,3,10,6,9,11,0,0,0,0,0,0,0,0,0,3,0,2,8,"80%",0,0,0,0,0,0
"532","Santiago Cáseres",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"533","Saúl Ñíguez",26,2340,3,0,0,0,37,9,"24%",28,5,"18%",0,16,21,46,41,46,0,6,0,0,0,0,0,0,0,9,0,19,12,"78%",0,1,0,3,0,0
"534","Scott Dann",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"535","Sean Longstaff",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"536","Sebastián Cristóforo",7,318,0,0,0,0,1,1,"100%",3,0,"0%",0,1,9,7,3,7,0,0,0,0,0,0,0,0,0,2,0,3,2,"77%",0,0,0,0,0,0
"537","Sébastien Corchia",3,270,0,0,0,0,3,1,"33%",25,10,"40%",0,5,5,4,5,1,0,1,0,0,0,0,0,0,0,2,0,6,7,"85%",2,0,0,0,0,0
"538","Sergi Darder",26,2110,2,1,0,0,42,8,"19%",51,17,"33%",1,6,23,23,17,19,0,2,0,0,0,0,0,0,0,1,1,15,26,"74%",28,32,1,0,0,0
"539","Sergi Enrich",20,1441,1,3,0,0,20,3,"15%",4,0,"0%",0,7,18,51,8,7,0,4,0,0,0,0,0,0,0,2,0,6,8,"71%",0,0,0,0,0,0
"540","Sergi Gómez",8,494,0,0,0,0,1,0,"0%",1,0,"0%",0,0,0,4,5,4,0,2,0,0,0,0,0,0,0,3,0,1,0,"87%",0,1,0,0,0,0
"541","Sergi Guardiola",25,2056,6,2,0,0,46,16,"35%",30,1,"3%",1,18,43,35,6,8,0,5,0,0,0,0,0,0,0,0,0,25,13,"70%",0,0,0,2,1,1
"542","Sergi Roberto",22,1739,1,2,0,0,5,2,"40%",22,6,"27%",0,7,29,17,24,14,0,7,0,0,0,0,0,0,0,2,0,11,17,"91%",0,0,0,0,0,0
"543","Sergio Akieme",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"544","Sergio Álvarez",2,180,0,0,2,1,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"69%",0,1,0,0,0,0
"545","Sergio Álvarez",11,703,0,0,0,0,2,0,"0%",2,0,"0%",0,1,6,10,10,13,0,4,0,1,0,0,0,0,0,1,1,6,4,"71%",0,4,0,0,0,0
"546","Sergio Asenjo",25,2250,0,0,74,30,0,0,"0%",0,0,"0%",0,2,4,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"68%",0,6,0,0,0,0
"547","Sergio Bermejo",1,5,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"100%",0,0,0,0,0,0
"548","Sergio Busquets",23,1797,2,2,0,0,8,4,"50%",1,0,"0%",0,2,39,32,33,37,0,8,0,1,0,0,0,0,0,3,0,18,20,"90%",0,9,0,0,0,0
"549","Sergio Camello",2,25,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33%",0,0,0,0,0,0
"550","Sergio Canales",26,2292,4,4,0,0,34,12,"35%",98,28,"29%",2,17,32,19,9,12,0,4,0,1,0,2,2,0,0,1,0,33,50,"88%",28,39,4,3,1,1
"551","Sergio Carreira",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"552","Sergio Cubero",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"553","Sergio Escudero",6,413,0,0,0,0,3,3,"100%",9,0,"0%",0,2,4,8,11,9,0,2,0,1,0,0,0,0,0,1,0,1,4,"77%",0,1,0,0,0,0
"554","Sergio Herrera",12,1025,0,0,34,21,0,0,"0%",0,0,"0%",0,0,6,1,1,1,0,2,1,0,0,0,0,0,0,0,1,3,0,"48%",0,4,0,0,0,0
"555","Sergio León",15,474,1,0,0,0,18,3,"17%",4,1,"25%",0,2,6,7,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,"60%",0,0,0,0,0,0
"556","Sergio Postigo",20,1752,1,0,0,0,3,2,"67%",0,0,"0%",0,1,10,13,27,9,0,5,0,0,0,0,0,0,0,12,0,6,7,"82%",0,7,0,0,0,0
"557","Sergio Ramos",25,2219,5,0,0,0,29,11,"38%",1,0,"0%",0,5,20,37,34,22,0,7,0,1,0,3,3,0,0,7,2,6,2,"91%",0,10,0,3,0,0
"558","Sergio Reguilón",22,1872,1,4,0,0,22,5,"23%",90,27,"30%",0,19,35,43,28,28,0,7,0,0,0,0,0,0,0,5,0,35,34,"80%",0,6,0,0,0,0
"559","Sergio Rico",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"560","Sidnei",9,770,1,0,0,0,3,2,"67%",0,0,"0%",0,1,4,6,17,10,0,0,0,1,0,0,0,0,0,9,0,4,0,"89%",0,8,0,0,0,0
"561","Šime Vrsaljko",5,362,0,1,0,0,0,0,"0%",14,3,"21%",0,2,3,7,8,5,0,3,0,0,0,0,0,0,0,3,0,0,3,"69%",0,0,0,0,0,0
"562","Sofian Chakla",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"563","Stanislav Lobotka",17,1383,0,0,0,0,8,3,"38%",4,0,"0%",0,6,21,11,8,11,0,1,0,0,0,0,0,0,0,2,0,10,9,"89%",1,2,0,0,0,0
"564","Stefan Savic",14,1260,0,0,0,0,2,2,"100%",0,0,"0%",0,0,8,11,19,12,0,3,0,0,0,0,0,0,1,10,0,2,2,"80%",0,8,0,0,0,0
"565","Stiven Plaza",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"566","Suso Fernández",6,353,1,1,0,0,6,4,"67%",21,9,"43%",0,1,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,8,9,"79%",6,4,3,1,0,0
"567","Takashi Inui",20,1470,1,3,0,0,33,9,"27%",34,4,"12%",0,14,21,25,14,7,0,2,0,0,1,0,0,0,0,4,0,18,18,"81%",0,0,0,0,0,0
"568","Takefusa Kubo",24,1438,3,2,0,0,28,12,"43%",50,8,"16%",0,15,46,27,15,17,0,2,0,0,2,0,0,0,0,0,0,34,19,"69%",10,6,1,1,1,0
"569","Thibaut Courtois",24,2160,0,0,47,16,1,1,"100%",0,0,"0%",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"74%",0,3,0,0,0,0
"570","Thierry Correia",2,180,0,0,0,0,0,0,"0%",1,0,"0%",0,1,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"72%",0,0,0,0,0,0
"571","Thomas Lemar",17,810,0,0,0,0,7,2,"29%",24,8,"33%",0,1,9,6,6,8,0,1,0,0,0,0,0,0,0,1,0,19,6,"82%",13,6,0,1,1,0
"572","Thomas Teye",24,1837,2,0,0,0,20,3,"15%",23,3,"13%",0,3,20,38,35,32,0,10,0,1,0,0,0,0,0,5,0,43,16,"83%",14,8,0,1,0,0
"573","Tomás Pina",13,895,1,0,0,0,1,1,"100%",1,0,"0%",0,0,12,24,12,19,0,3,0,0,1,0,0,0,0,4,0,5,3,"81%",0,0,0,0,0,0
"574","Tomáš Vaclík",26,2295,0,0,49,27,0,0,"0%",0,0,"0%",0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"65%",0,4,0,0,0,0
"575","Toni Fuidias",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"576","Toni Kroos",24,1873,3,5,0,0,44,15,"34%",110,27,"25%",0,18,35,15,17,17,0,1,0,0,0,0,0,0,0,0,0,18,50,"94%",67,33,4,1,0,0
"577","Toni Moya",1,4,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"578","Toni Villa",18,1103,0,1,0,0,15,4,"27%",24,6,"25%",0,10,30,14,8,11,0,4,0,0,0,0,0,0,0,1,0,35,11,"76%",0,1,0,0,0,0
"579","Toño García",14,1172,0,2,0,0,1,0,"0%",41,12,"29%",0,8,13,13,7,14,0,0,0,0,0,0,0,0,0,1,0,10,14,"78%",0,6,0,0,0,0
"580","Unai Bustinza",24,1921,0,1,0,0,6,3,"50%",38,6,"16%",0,5,37,41,51,31,0,3,0,1,0,0,0,0,0,7,1,5,14,"69%",0,19,0,0,0,0
"581","Unai Etxebarria",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"582","Unai García",4,200,1,0,0,0,3,1,"33%",0,0,"0%",0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,4,0,3,1,"68%",0,2,0,0,0,0
