"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"72","Aritz Castro",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"73","Aritz Elustondo",13,929,0,1,0,0,4,0,"0%",0,0,"0%",0,1,6,5,10,13,0,1,0,0,0,0,0,0,0,8,0,0,2,"80%",0,12,0,0,0,0
"74","Arthur Melo",16,1003,3,3,0,0,8,5,"63%",12,2,"17%",0,3,36,11,3,7,0,1,0,0,0,0,0,0,0,0,0,30,11,"91%",9,3,0,0,0,0
"75","Arturo Vidal",22,931,6,2,0,0,13,8,"62%",7,2,"29%",0,2,16,28,11,27,0,3,0,1,0,0,0,0,0,3,1,4,13,"88%",0,0,0,0,0,0
"76","Asier Illarramendi",3,216,0,0,0,0,1,0,"0%",0,0,"0%",0,1,3,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,"92%",0,1,0,0,0,0
"77","Asier Villalibre",9,342,1,0,0,0,9,3,"33%",6,0,"0%",0,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"63%",0,0,0,0,0,0
"78","Aymane Mourid",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"79","Baba Rahman",2,108,0,0,0,0,1,0,"0%",6,1,"17%",0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,"63%",0,0,0,0,0,0
"80","Beñat Etxebarria",11,394,0,0,0,0,5,2,"40%",21,13,"62%",0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,10,"85%",15,6,1,0,0,0
"81","Bernardo Espinosa",18,1620,2,0,0,0,17,5,"29%",1,0,"0%",0,2,14,22,16,14,0,4,0,0,0,0,0,0,0,10,1,1,3,"69%",0,7,0,0,0,0
"82","Borja Iglesias",24,1386,3,2,0,0,22,7,"32%",5,1,"20%",1,9,13,26,3,5,0,1,1,1,0,0,0,0,0,4,0,10,15,"74%",0,0,0,0,0,0
"83","Borja Mayoral",23,1483,5,1,0,0,30,12,"40%",15,2,"13%",0,8,20,17,2,2,0,2,0,0,0,0,0,0,0,0,0,20,14,"79%",0,0,0,0,0,0
"84","Borja Sainz",12,346,0,0,0,0,6,3,"50%",7,2,"29%",0,6,5,10,2,6,0,1,0,0,0,0,0,0,0,0,0,8,5,"76%",0,0,0,0,0,0
"85","Brahim Díaz",3,26,0,0,0,0,0,0,"0%",0,0,"0%",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"78%",0,0,0,0,0,0
"86","Brais Méndez",21,1046,0,1,0,0,18,6,"33%",28,4,"14%",0,7,30,19,9,10,0,2,0,0,0,0,0,0,0,0,0,16,9,"74%",5,3,1,0,0,0
"87","Brais Rodríguez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"88","Brandon Pierrick",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"89","Brandon Thomas",8,406,0,1,0,0,8,2,"25%",4,3,"75%",0,3,6,6,1,3,0,4,0,0,0,0,0,0,0,0,0,4,4,"69%",0,0,0,0,0,0
"90","Bruno González",5,450,0,0,0,0,1,0,"0%",0,0,"0%",0,1,3,6,1,6,0,1,0,0,0,0,0,0,0,2,0,0,0,"80%",0,3,0,0,0,0
"91","Bryan Gil",5,158,0,0,0,0,1,0,"0%",5,1,"20%",0,2,4,7,0,2,0,4,0,0,0,0,0,0,0,0,0,7,0,"77%",1,0,0,0,0,0
"92","Carles Aleñá",12,613,0,0,0,0,8,3,"38%",5,0,"0%",0,3,16,9,1,9,0,1,0,0,0,0,0,0,0,1,0,10,2,"87%",2,0,0,0,0,0
"93","Carles Pérez",10,476,1,2,0,0,14,6,"43%",16,3,"19%",0,3,4,4,1,4,0,0,0,0,0,0,0,0,0,2,0,8,7,"83%",5,2,0,0,0,0
"94","Carlos Bacca",13,512,1,0,0,0,13,4,"31%",2,0,"0%",0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,"74%",0,0,0,0,0,0
"95","Carlos Casemiro",25,2219,3,2,0,0,34,7,"21%",18,5,"28%",0,4,40,64,55,56,1,9,0,0,0,0,0,0,0,7,0,18,9,"84%",0,6,1,3,0,0
"96","Carlos Clerc",14,1258,0,2,0,0,2,0,"0%",42,4,"10%",0,3,13,16,17,13,0,4,0,0,0,0,0,0,0,4,0,14,5,"69%",0,4,0,0,0,0
"97","Carlos Fernández",23,1393,5,3,0,0,25,9,"36%",5,0,"0%",0,6,25,44,10,12,1,6,0,0,1,0,0,0,0,2,0,16,15,"61%",0,0,0,1,0,0
"98","Carlos Marín",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"99","Carlos Neva",17,1449,0,0,0,0,5,3,"60%",53,6,"11%",0,14,25,6,15,4,0,1,0,0,0,0,0,0,0,1,0,4,6,"71%",0,3,0,0,0,0
"100","Carlos Soler",18,1377,2,0,0,0,13,4,"31%",12,3,"25%",0,1,13,19,9,7,0,3,0,0,0,0,0,0,0,5,0,12,11,"79%",6,2,0,0,0,0
"101","Cenk Tosun",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"102","Charles Dias",21,940,5,0,0,0,20,10,"50%",2,1,"50%",0,4,14,30,4,2,0,5,0,0,0,2,1,0,0,1,0,1,7,"67%",0,0,0,0,0,0
"103","Cheikhou Kouyaté",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"104","Chema Rodríguez",1,90,0,0,0,0,2,0,"0%",1,0,"0%",0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"64%",0,0,0,0,0,0
"105","Chidozie Awaziem",18,1505,0,0,0,0,7,0,"0%",4,1,"25%",0,1,10,16,26,17,0,7,0,0,0,0,0,0,0,15,0,5,3,"74%",0,18,0,0,0,0
